State,Department,Website,District,Block
Telangana,Animal Husbadry & Veterinary Department(A.V.H). Kodangl,RTI_telangana,. Kodangl,NA
Telangana,Animal Husbadry & Veterinary Department(A.V.H). Marpally,RTI_telangana,. Marpally,NA
Telangana,Animal Husbadry & Veterinary Department(A.V.H). Parigi,RTI_telangana,. Parigi,NA
Telangana,Animal Husbadry & Veterinary Department(A.V.H). Vikarabad,RTI_telangana,Vikarabad,NA
Telangana,Animal Husbadry & Veterinary Department(A.V.H).Thandur,RTI_telangana,.Thandur,NA
Telangana,Animal Husbadry & Veterinary Department(ADDL) Adilabad,RTI_telangana,Adilabad,NA
Telangana,Animal Husbadry & Veterinary Department(ADDL) Mahabubnagar,RTI_telangana,Mahabubnagar,NA
Telangana,Animal Husbadry & Veterinary Department(ADDL) Sangareddy,RTI_telangana,Sangareddy,NA
Telangana,"Animal Husbadry & Veterinary Department(ADDL), Hanumakonda",RTI_telangana,Hanamkonda,NA
Telangana,"Animal Husbadry & Veterinary Department(ADDL), Karimnagar",RTI_telangana,Karimnagar,NA
Telangana,"Animal Husbadry & Veterinary Department(ADDL),Nizamabad",RTI_telangana,Nizamabad,NA
Telangana,"Animal Husbadry & Veterinary Department(AH, ISDP), Hanumakonda",RTI_telangana,Hanamkonda,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Achampet,RTI_telangana,Achampet,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Alampur,RTI_telangana,Alampur,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Armoor,RTI_telangana,Armoor,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Aswaraopeta,RTI_telangana,Aswaraopeta,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Atmakur,RTI_telangana,Atmakur,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Badepally,RTI_telangana,Badepally,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Bhadrachalam,RTI_telangana,Bhadrachalam,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Boath,RTI_telangana,Boath,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Burgampahad,RTI_telangana,Burgampahad,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Cherial,RTI_telangana,Cherial,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Chevella,RTI_telangana,Chevella,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Chityal,RTI_telangana,Chityal,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Dubbak,RTI_telangana,Dubbak,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Gadwal,RTI_telangana,Gadwal,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Gajwel,RTI_telangana,Gajwel,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Gudur,RTI_telangana,Gudur,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Husnabad,RTI_telangana,Husnabad,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Ibrahimpatnam,RTI_telangana,Ibrahimpatnam,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Jagtial,RTI_telangana,Jagtial,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Jogipet,RTI_telangana,Jogipet,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Kalwakurthy,RTI_telangana,Kalwakurthy,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Khanapur,RTI_telangana,Khanapur,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) KOTHAGUDEM,RTI_telangana,Bhadradri Kothagudem,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Maheshwaram,RTI_telangana,Maheshwaram,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Makthal,RTI_telangana,Makthal,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Medak,RTI_telangana,Medak,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Metpelly,RTI_telangana,Metpelly,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Mulkanoor,RTI_telangana,Mulkanoor,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Nagarkurnool,RTI_telangana,Nagarkurnool,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Narayankhed,RTI_telangana,Narayankhed,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Narsapur,RTI_telangana,Narsapur,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Nirmal,RTI_telangana,Nirmal,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Paloncha,RTI_telangana,Paloncha,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Patancheru,RTI_telangana,Patancheru,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Sadashivpet,RTI_telangana,Sadashivpet,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Shadnagar,RTI_telangana,Shadnagar,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Siddipet,RTI_telangana,Siddipet,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Sircilla,RTI_telangana,Sircilla,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Thungathurthy,RTI_telangana,Thungathurthy,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Utnoor,RTI_telangana,Utnoor,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Varni,RTI_telangana,Varni,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Wanaparthy,RTI_telangana,Wanaparthy,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) YELLANDU,RTI_telangana,YELLANDU,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Zaheerabad,RTI_telangana,Zaheerabad,NA
Telangana,"Animal Husbadry & Veterinary Department(AVH), Bodhan",RTI_telangana,Bodhan,NA
Telangana,"Animal Husbadry & Veterinary Department(AVH), Chandur",RTI_telangana,Chandur,NA
Telangana,"Animal Husbadry & Veterinary Department(AVH), Chennur",RTI_telangana,Chennur,NA
Telangana,"Animal Husbadry & Veterinary Department(AVH), Devarakonda",RTI_telangana,Devarakonda,NA
Telangana,"Animal Husbadry & Veterinary Department(AVH), Godavarikhani",RTI_telangana,Godavarikhani,NA
Telangana,"Animal Husbadry & Veterinary Department(AVH), Huzurabad",RTI_telangana,Huzurabad,NA
Telangana,"Animal Husbadry & Veterinary Department(AVH), Huzurnagar",RTI_telangana,Huzurnagar,NA
Telangana,"Animal Husbadry & Veterinary Department(AVH), Kodad",RTI_telangana,Kodad,NA
Telangana,"Animal Husbadry & Veterinary Department(AVH), Luxettipet",RTI_telangana,Luxettipet,NA
Telangana,"Animal Husbadry & Veterinary Department(AVH), Manthani",RTI_telangana,Manthani,NA
Telangana,"Animal Husbadry & Veterinary Department(AVH), Miryalguda",RTI_telangana,Miryalguda,NA
Telangana,"Animal Husbadry & Veterinary Department(AVH), Mudhole",RTI_telangana,Mudhole,NA
Telangana,"Animal Husbadry & Veterinary Department(AVH), Nakreka",RTI_telangana,Nakreka,NA
